,id,sex,politics,chinese,math,biology,physics,chemistry,geography,history,sum,mean,group
59,92101,2.0,96.0,96.0,87.5,72.0,93.0,65.0,76.0,92.0,677.5,84.6875,良
51,92104,2.0,89.0,97.0,69.5,86.0,83.0,62.0,83.0,94.0,663.5,82.9375,良
14,92203,2.0,74.0,93.0,84.5,50.0,89.0,72.0,82.5,92.0,637.0,79.625,中
47,92204,2.0,88.0,81.0,87.5,60.0,84.0,63.0,79.0,92.0,634.5,79.3125,中
48,92106,2.0,88.0,88.0,78.0,60.0,90.0,70.0,81.5,77.0,632.5,79.0625,中
26,92205,2.0,81.0,79.0,84.0,60.0,91.0,64.0,81.0,92.0,632.0,79.0,中
38,92108,2.0,84.0,90.0,69.5,50.0,80.0,60.0,86.5,94.0,614.0,76.75,中
27,92112,2.0,81.0,75.5,76.5,43.0,78.0,83.0,78.0,91.0,606.0,75.75,中
31,92207,2.0,83.0,91.0,70.5,60.0,84.0,64.0,81.5,62.0,596.0,74.5,中
39,92116,2.0,84.0,87.0,67.5,52.0,82.0,60.0,79.0,71.0,582.5,72.8125,中
53,92209,2.0,90.0,91.0,70.5,39.0,89.0,53.0,68.5,81.0,582.0,72.75,中
41,92206,2.0,86.0,86.0,77.5,40.0,92.0,60.0,57.0,76.0,574.5,71.8125,中
49,92125,2.0,88.0,80.0,53.5,60.0,78.0,51.0,69.0,94.0,573.5,71.6875,中
11,92211,2.0,71.0,73.0,69.0,42.0,95.0,61.0,76.5,76.0,563.5,70.4375,中
46,92127,2.0,87.0,97.0,52.0,38.0,76.0,47.0,79.0,84.0,560.0,70.0,中
23,92221,2.0,79.0,83.0,47.0,51.0,70.0,52.0,77.5,93.0,552.5,69.0625,及格
18,92128,2.0,76.0,93.0,45.0,65.0,68.0,60.0,64.5,73.0,544.5,68.0625,及格
15,92220,2.0,74.0,81.5,59.5,45.0,82.0,64.0,63.0,72.0,541.0,67.625,及格
5,92217,2.0,60.0,82.5,76.5,35.0,81.0,60.0,70.5,74.0,539.5,67.4375,及格
52,92129,2.0,89.0,90.0,50.0,52.0,71.0,53.0,58.0,74.0,537.0,67.125,及格
37,92224,2.0,84.0,72.0,66.5,52.0,70.0,43.0,55.0,69.0,511.5,63.9375,及格
21,92134,2.0,77.0,91.0,47.5,31.0,67.0,41.0,72.5,77.0,504.0,63.0,及格
33,92229,2.0,83.0,72.0,44.5,48.0,50.0,55.0,54.0,96.0,502.5,62.8125,及格
34,92231,2.0,83.0,84.0,38.5,60.0,76.0,46.0,65.5,49.0,502.0,62.75,及格
50,92232,2.0,89.0,67.0,51.5,30.0,60.0,43.0,61.5,79.0,481.0,60.125,及格
13,92141,2.0,73.0,82.0,41.5,28.0,69.0,43.0,43.0,74.0,453.5,56.6875,不及格
19,92140,2.0,76.0,73.0,39.5,41.0,62.0,48.0,54.5,56.0,450.0,56.25,不及格
0,92103,2.0,0.0,0.0,0.0,66.0,98.0,79.0,89.0,81.0,413.0,51.625,不及格
2,92142,2.0,0.0,70.0,59.0,22.0,68.0,26.0,26.0,63.0,334.0,41.75,不及格
1,92239,2.0,40.0,63.0,44.0,21.0,54.0,26.0,26.0,55.0,329.0,41.125,不及格
